## Measurements of the AGN duty cycle as a function of stellar mass and redshift for all, star-forming and quiescent galaxies
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 6)
## Column description:
## Class - All, SF (star-forming), or Qu (Quiescent) galaxies
## zbinlo, zbinhi  - lower and upper limit of redshift bin
## mbinlo, mbinhi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## fduty(%) - fraction of galaxies (as a %) in mass+redshift bin with an AGN accreting above a specific black hole accretion rate limit of 0.01.
##            See Equation 3 of Aird+17b.
## fduty_error_lo(68%), fduty_error_hi(68%) - lower and upper 1 sigma equivalent errors on the duty cycle (as a %)
##
# Class  zbinlo  zbinhi  mbinlo  mbinhi   fduty(%)  fduty_error_lo(68%)   fduty_error_hi(68%)
  SF   2.50   3.00  10.50  11.00    14.702     2.801     3.157
  SF   3.00   4.00  10.50  11.00     6.502     2.308     2.744
  SF   0.10   0.50  11.00  11.50     1.151     0.462     0.735
  SF   0.50   1.00  11.00  11.50     6.017     0.805     0.868
  SF   1.00   1.50  11.00  11.50    10.150     1.216     1.281
  SF   1.50   2.00  11.00  11.50    16.075     1.779     1.925
  SF   2.00   2.50  11.00  11.50    24.530     2.881     2.813
  SF   2.50   3.00  11.00  11.50    15.663     3.873     4.372
  SF   3.00   4.00  11.00  11.50    14.799     3.866     4.671
  Qu   0.10   0.50  10.00  10.50     0.156     0.086     0.168
  Qu   0.50   1.00  10.00  10.50     1.581     0.299     0.361
  Qu   1.00   1.50  10.00  10.50     4.500     0.939     1.076
  Qu   1.50   2.00  10.00  10.50     7.443     1.675     2.053
  Qu   2.00   2.50  10.00  10.50     9.482     4.672     6.436
  Qu   2.50   3.00  10.00  10.50     7.194     4.377     6.947
  Qu   0.10   0.50  10.50  11.00     0.519     0.185     0.251
  Qu   0.50   1.00  10.50  11.00     1.272     0.219     0.256
  Qu   1.00   1.50  10.50  11.00     3.836     0.536     0.590
  Qu   1.50   2.00  10.50  11.00     7.130     1.119     1.171
  Qu   2.00   2.50  10.50  11.00    10.398     2.389     2.862
  Qu   2.50   3.00  10.50  11.00    16.454     5.381     5.471
  Qu   3.00   4.00  10.50  11.00     2.042     1.722     5.050
  Qu   0.10   0.50  11.00  11.50     0.105     0.075     0.222
  Qu   0.50   1.00  11.00  11.50     0.180     0.094     0.175
  Qu   1.00   1.50  11.00  11.50     1.161     0.424     0.617
  Qu   1.50   2.00  11.00  11.50     3.488     1.027     1.275
  Qu   2.00   2.50  11.00  11.50    15.713     3.712     4.531
  Qu   2.50   3.00  11.00  11.50    22.954     7.284     7.539
  Qu   3.00   4.00  11.00  11.50     2.601     2.308     8.979
